Timestamp arrow_downward	Unit	Priority	Message (showing first 5000 entries)
02-18 09:17:37	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:49648->163.177.58.13:12103: write: broken pipe"	
02-18 09:17:36	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:49648->163.177.58.13:12103: write: broken pipe"	
02-18 09:17:34	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:49648->163.177.58.13:12103: write: broken pipe"	
02-18 09:17:33	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:49648->163.177.58.13:12103: write: broken pipe"	
02-18 09:17:32	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:44852->163.177.58.13:12101: write: broken pipe"	
02-18 09:17:32	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:44852->163.177.58.13:12101: write: broken pipe"	
02-18 09:17:32	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:44838->163.177.58.13:12101: write: broken pipe"	
02-18 09:17:32	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:44838->163.177.58.13:12101: write: broken pipe"	
02-18 09:17:28	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:44852->163.177.58.13:12101: write: broken pipe"	
02-18 09:17:28	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:44852->163.177.58.13:12101: write: broken pipe"	
02-18 09:17:28	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:44838->163.177.58.13:12101: write: broken pipe"	
02-18 09:17:28	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:44838->163.177.58.13:12101: write: broken pipe"	
02-18 09:17:26	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:57746->163.177.58.13:12101: write: broken pipe"	
02-18 09:17:26	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:49594->163.177.58.13:12103: write: broken pipe"	
02-18 09:17:25	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:57746->163.177.58.13:12101: write: broken pipe"	
02-18 09:17:25	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:49594->163.177.58.13:12103: write: broken pipe"	
02-18 09:17:25	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:44834->163.177.58.13:12101: write: broken pipe"	
02-18 09:17:25	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:44834->163.177.58.13:12101: write: broken pipe"	
02-18 09:17:25	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:44814->163.177.58.13:12101: write: broken pipe"	
02-18 09:17:25	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:44814->163.177.58.13:12101: write: broken pipe"	
02-18 09:17:24	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:49914->163.177.58.13:12101: write: broken pipe"	
02-18 09:17:24	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:35756->163.177.58.13:12101: write: broken pipe"	
02-18 09:17:24	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:49914->163.177.58.13:12101: write: broken pipe"	
